id,model_number,type,description,aesthetic,dimensions,finish,supplied_accessories,optional_accessories,safety,power,warranty,status,created_at,updated_at,slug,notes,ean,cover_image,price,door,cooling,shelves,capacity,lighting,air_filter,thermostat,installation,function_list,device_display,features
687,CVIA618RNR2,DolceWine,45cm Dolce Stil Novo Wine Cellar - Right-hand hinge,dolce stil novo,596mmW x 448mmH x 554mmD,"
Black eclipse glass with copper trim","
Telescopic guide rails","","
Control lock
Door open alarm","220-240V, 50/60Hz,40W,0.4A Connection",five years parts and labour,Active,15/11/2018,16/11/2018,cvia618rnr2,"","","",0.0,"Push to open,UV resistant Eclipse Black Glass,Double glazed123",Fan-assisted132,"
1 x fixed wooden shelves
2 x removable wooden shelves on telescopic guide rails
132","
18 bottles (750ml)
132",LED internal light123,Active carbon filter123,5-20°C123,Built-in123,,LED Display with External touch control123,"external temperature control
external temperature control
external temperature control
external temperature control
external temperature control
external temperature control
external temperature control
external temperature control
external temperature control
external temperature control
external temperature control
external temperature control
external temperature control
external temperature control
18 bottle capacity
18 bottle capacity
18 bottle capacity
18 bottle capacity
18 bottle capacity
18 bottle capacity
18 bottle capacity
18 bottle capacity
18 bottle capacity
18 bottle capacity
18 bottle capacity
18 bottle capacity
18 bottle capacity
18 bottle capacity
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
vibration protection
vibration protection
vibration protection
vibration protection
vibration protection
vibration protection
vibration protection
vibration protection
vibration protection
vibration protection
vibration protection
vibration protection
vibration protection
vibration protection"
686,CVIA618LNX2,DolceWine,45cm Dolce Stil Novo Wine Cellar - Left-hand hinge,dolce stil novo,596mmW x 448mmH x 554mmD,Black eclipse glass with stainless steel trim,Telescopic guide rails,"","Control lock
Door open alarm","220-240V, 50/60Hz,40W,0.4A Connection",five years parts and labour,Active,15/11/2018,16/11/2018,cvia618lnx2,"","","",0.0,"Push to open,UV resistant Eclipse Black Glass,Double glazed",Fan-assisted,"1 x fixed wooden shelves
2 x removable wooden shelves on telescopic guide rails",18 bottles (750ml),LED internal light,Active carbon filter,5-20°C,Built-in,,LED Display with External touch control,"external temperature control
external temperature control
external temperature control
external temperature control
external temperature control
external temperature control
external temperature control
external temperature control
external temperature control
external temperature control
external temperature control
external temperature control
external temperature control
external temperature control
18 bottle capacity
18 bottle capacity
18 bottle capacity
18 bottle capacity
18 bottle capacity
18 bottle capacity
18 bottle capacity
18 bottle capacity
18 bottle capacity
18 bottle capacity
18 bottle capacity
18 bottle capacity
18 bottle capacity
18 bottle capacity
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
vibration protection
vibration protection
vibration protection
vibration protection
vibration protection
vibration protection
vibration protection
vibration protection
vibration protection
vibration protection
vibration protection
vibration protection
vibration protection
vibration protection"
690,CVIA638RN2,DolceWine,60cm Dolce Stil Novo Wine Cellar - Right-hand hinge,dolce stil novo,595mmW x 820mmH x 616mmD (excluding handle),Black eclipse glass,Telescopic guide rails,"","Control lock
Door open alarm","220-240V, 50/60Hz,40W,0.4A Connection",five years parts and labour,Active,15/11/2018,16/11/2018,cvia638rn2,"","","",0.0,"Ergonomic handle,UV resistant Eclipse Black Glass,Double glazed",Fan-assisted,"3 x fixed wooden shelves
2 x removable wooden shelves on telescopic guide rails",38 bottles (750ml),LED internal light,Active carbon filter,5-20°C,Built under,,LED Display with External touch control,"external temperature control
external temperature control
external temperature control
external temperature control
external temperature control
external temperature control
external temperature control
external temperature control
external temperature control
external temperature control
external temperature control
external temperature control
external temperature control
external temperature control
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
38 bottle capacity
38 bottle capacity
38 bottle capacity
38 bottle capacity
38 bottle capacity
38 bottle capacity
38 bottle capacity
38 bottle capacity
38 bottle capacity
38 bottle capacity
38 bottle capacity
38 bottle capacity
38 bottle capacity
38 bottle capacity
variable temperature zones
variable temperature zones
variable temperature zones
variable temperature zones
variable temperature zones
variable temperature zones
variable temperature zones
variable temperature zones
variable temperature zones
variable temperature zones
variable temperature zones
variable temperature zones
variable temperature zones
variable temperature zones"
688,CVIA618RNX2,DolceWine,45cm Dolce Stil Novo Wine Cellar - Right-hand hinge,dolce stil novo,596mmW x 448mmH x 554mmD,Black eclipse glass with stainless steel trim,Telescopic guide rails,"","Control lock
Door open alarm","220-240V, 50/60Hz,40W,0.4A Connection",five years parts and labour,Active,15/11/2018,16/11/2018,cvia618rnx2,"","","",0.0,"Push to open,UV resistant Eclipse Black Glass,Double glazed",Fan-assisted,"1 x fixed wooden shelves
2 x removable wooden shelves on telescopic guide rails",18 bottles (750ml),LED internal light,Active carbon filter,5-20°C,Built-in,,LED Display with External touch control,"external temperature control
external temperature control
external temperature control
external temperature control
external temperature control
external temperature control
external temperature control
external temperature control
external temperature control
external temperature control
external temperature control
external temperature control
external temperature control
external temperature control
18 bottle capacity
18 bottle capacity
18 bottle capacity
18 bottle capacity
18 bottle capacity
18 bottle capacity
18 bottle capacity
18 bottle capacity
18 bottle capacity
18 bottle capacity
18 bottle capacity
18 bottle capacity
18 bottle capacity
18 bottle capacity
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
vibration protection
vibration protection
vibration protection
vibration protection
vibration protection
vibration protection
vibration protection
vibration protection
vibration protection
vibration protection
vibration protection
vibration protection
vibration protection
vibration protection"
689,CVIA638LN2,DolceWine,60cm Dolce Stil Novo Wine Cellar - Left-hand hinge,dolce stil novo,595mmW x 820mmH x 616mmD (excluding handle),Black eclipse glass,Telescopic guide rails,"","Control lock
Door open alarm","220-240V, 50/60Hz,40W,0.4A Connection",five years parts and labour,Active,15/11/2018,16/11/2018,cvia638ln2,"","","",0.0,"Ergonomic handle,UV resistant Eclipse Black Glass,Double glazed",Fan-assisted,"1 x fixed wooden shleves
2 x removable wooden shelves on telescopic guide rails",38 bottles (750ml),LED internal light,Active carbon filter,5-20°C,Built under,,LED Display with External touch control,"external temperature control
external temperature control
external temperature control
external temperature control
external temperature control
external temperature control
external temperature control
external temperature control
external temperature control
external temperature control
external temperature control
external temperature control
external temperature control
external temperature control
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
slavonian oak shelves
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
uv resistant glass
38 bottle capacity
38 bottle capacity
38 bottle capacity
38 bottle capacity
38 bottle capacity
38 bottle capacity
38 bottle capacity
38 bottle capacity
38 bottle capacity
38 bottle capacity
38 bottle capacity
38 bottle capacity
38 bottle capacity
38 bottle capacity
variable temperature zones
variable temperature zones
variable temperature zones
variable temperature zones
variable temperature zones
variable temperature zones
variable temperature zones
variable temperature zones
variable temperature zones
variable temperature zones
variable temperature zones
variable temperature zones
variable temperature zones
variable temperature zones"
