id,model_number,type,description,aesthetic,dimensions,finish,supplied_accessories,optional_accessories,safety,power,warranty,status,created_at,updated_at,slug,notes,ean,cover_image,price,noise,weight,defrost,lighting,nb_drawers,nb_shelves,accessories,star_rating,freezer_door,gross_capacity,nb_door_shelves,energy_consumption,features
357,FQ60XPA,FrenchDoorRefrigeration,4 door French door refrigerator,,"920mmW x 1825mmH x 765mmD ,(including handle)",Stainless steel,"","","","220-240V, 50Hz,10A (3-pin plug)",2 years parts and labour,"",02/10/2018,02/10/2018,fq60xpa,"","","",0.0,43 dBA,135kg,Frost Free,LED,4 x storage compartments,3 x safety glass shelves,"",2 Star,n/a,"Refrigerator: 394L
Freezer: 189L
Total: 583L",8 x door shelves (incl. 2 covers),584 kWh/year,"large interal storage
transparent freezer drawers
easy use ice trays
bacteria suppression system
right-hand freezer zone can be converted to refrigerator"
358,SF640S-1,FrenchDoorRefrigeration,2 door + drawer refrigerator,,"914mmW x 1773mmH x 858mmD ,(excluding 50mm handle)",Stainless steel,"","","","220-240V, 50Hz,10A (3-pin plug)",2 years parts and labour,"",02/10/2018,02/10/2018,sf640s-1,"","","",0.0,"",159kg,Frost Free,LED,3 x storage compartments,3 x spill proof safety glass shelves,1 x egg container,2.5 Star,1 x Ice container,"Refrigerator: 512L
Freezer: 250L
Total: 762L",7 x door shelves,610 kWh/yr,"frost free freezer
large interal storage
bacteria suppression system
turbo-x cooling system"
359,SR600X,FrenchDoorRefrigeration,Side by Side refrigerator,,"912mmW x 1770mmH x 735mmD ,(including handle)",Stainless steel,"","","","220-240V, 50Hz,10A (3-pin plug)",2 years parts and labour,"",02/10/2018,02/10/2018,sr600x,"","","",0.0,"",98kg,Frost Free,LED,3 x storage compartments,3 x spill proof safety glass shelves,"",2.5 Star,5 x shelves,"Refrigerator: 380L
Freezer: 242L
Total: 622L",5 x door shelves,610 kWh/year,"frost free freezer
turbo-x cooling system
express can chiller
transparent freezer drawer"
360,SR610X,FrenchDoorRefrigeration,Side by Side refrigerator with Ice and water,,"912mmW x 1770mmH x 735mmD ,(including handle)",Stainless steel,"","","","220-240V, 50Hz,10A (3-pin plug)",2 years parts and labour,"",02/10/2018,02/10/2018,sr610x,"","","",0.0,"",106kg,Frost Free,LED,3 x storage compartments,3 x spill proof safety glass shelves,"",1.5 Star,4 x shelves,"Refrigerator: 380L
Freezer: 228L
Total: 608L",5 x  door shelves,761 kWh/year,"frost free freezer
turbo-x cooling system
express can chiller
transparent freezer drawer"
361,SR620X,FrenchDoorRefrigeration,"Side by Side refrigerator with Ice, water and refreshment bar",,"912mmW x 1770mmH x 735mmD ,(including handle)",Stainless steel,"","","","220-240V, 50Hz,10A (3-pin plug)",2 years parts and labour,"",02/10/2018,02/10/2018,sr620x,"","","",0.0,"",111kg,Frost Free,LED,3 x storage compartments,3 x spill proof safety glass shelves,"",1.5 Star,4 x shelves,"Refrigerator: 380L
Freezer: 228L
Total: 608L",5 x door shelves including refreshment bar,760 kWh/year,"frost free freezer
turbo-x cooling system
express can chiller
transparent freezer drawer"
