id,model_number,type,description,aesthetic,dimensions,finish,supplied_accessories,optional_accessories,safety,power,warranty,status,created_at,updated_at,slug,notes,ean,cover_image,price,size,timer,drawer,fascia,capacity,functions,temperature,installation,power_supply,features
657,CR329X,WarmingDrawer,"60cm Classic Warming Drawer, 29cm h",,"",Fingerprint proof stainless steel,"","","","",Two years parts and labour,CURRENT,02/10/2018,02/10/2018,cr329x,45kg maximum capacity (stacking),"","",0.0,"",No,579mmW x 290mmHH x 538mmD,597mmW x 287mmH x 23mmD,51L/15kg,"","Up to 80ºC, variable temperature control","Built-in,Designed to fit beneath Smeg Classic 60cm ovens and Compact ovens","220-240V, 50/60Hz,10A current",push to open
648,CPRA315X,WarmingDrawer,"60cm Classic Warming Drawer, 15cm h",,"",Fingerprint proof stainless steel,"","","","",Two years parts and labour,CURRENT,02/10/2018,02/10/2018,cpra315x,45kg maximum capacity (stacking),"","",0.0,"",No,597mmW x 136mmH x 538mmD,597mmW x 127.5mmH x 23mmD,21L/15kg,"","Up to 80ºC, variable temperature control","Built-in,Designed to fit beneath Smeg Classic 60cm ovens and Compact ovens","220-240V, 50/60Hz,2A current",push to open
649,CPR615NR,WarmingDrawer,15cm Dolce Stil Novo Warming Drawer,dolce stil novo,"",Black eclipse glass with copper trim,"","","","",Five years parts and labour,"",02/10/2018,02/10/2018,cpr615nr,"15kg maximum capacity (internal),45kg maximum capacity (stacking)","","",0.0,"",No,597mmW x 135mmH x 538mmD,"",21L Volume | 15kg internal capacity,"","30ºC to 80ºC, variable temperature control","Built-in,Designed to fit beneath Smeg Dolce Stil Novo 60cm ovens and Compact ovens","220-240V, 50/60Hz,400W,2A current","dolce stil novo design
push to open
variable temperature control
silicon antislip mat
black eclipse glass"
650,CPR615NX,WarmingDrawer,15cm Dolce Stil Novo Warming Drawer,dolce stil novo,"",Black eclipse glass with stainless steel trim,"","","","",Five years parts and labour,"",02/10/2018,02/10/2018,cpr615nx,"15kg maximum capacity (internal),45kg maximum capacity (stacking)","","",0.0,"",No,597mmW x 135mmH x 538mmD,"",21L Volume | 15kg internal capacity,"","30ºC to 80ºC, variable temperature control","Built-in,Designed to fit beneath Smeg Dolce Stil Novo 60cm ovens and Compact ovens","220-240V, 50/60Hz,400W,2A current","dolce stil novo design
push to open
variable temperature control
silicon antislip mat
black eclipse glass"
651,CPS615NR,WarmingDrawer,15cm Dolce Stil Novo Sommelier Drawer,dolce stil novo,"",Black eclipse glass with copper trim,"","","","",Five years parts and labour,"",02/10/2018,02/10/2018,cps615nr,"15kg maximum capacity (internal),85kg maximum capacity","","",0.0,"",n/a,597mmW x 135mmH x 538mmD,"",15kg internal capacity,"",n/a,"Built-in,Designed to fit beneath Smeg Dolce Stil Novo Wine Coolers, ovens and Compact ovens",n/a,"dolce stil novo design
push to open
silicon antislip mat
black eclipse glass
slavonian oak shelf"
652,CPS615NX,WarmingDrawer,15cm Dolce Stil Novo Sommelier Drawer,dolce stil novo,"",Black eclipse glass with stainless steel trim,"","","","",Five years parts and labour,"",02/10/2018,02/10/2018,cps615nx,"15kg maximum capacity (internal),85kg maximum capacity","","",0.0,"",n/a,597mmW x 135mmH x 538mmD,"",15kg internal capacity,"",n/a,"Built-in,Designed to fit beneath Smeg Dolce Stil Novo Wine Coolers, ovens and Compact ovens",n/a,"dolce stil novo design
push to open
silicon antislip mat
black eclipse glass
slavonian oak shelf"
653,CPV615NR,WarmingDrawer,15cm Dolce Stil Novo Vacuum Drawer,dolce stil novo,"",Black eclipse glass with copper trim,"Bags for sous-vide cooking
Bags for food conservation","","","",Five years parts and labour,"",02/10/2018,02/10/2018,cpv615nr,"15kg maximum capacity (internal),85kg maximum capacity","","",0.0,"","",597mmW x 135mmH x 556mmD,597mmW x 127mmH,6.5L,"3 vacuum seal levels
3 preservation cycles
Chef function for marinades and infusions",n/a,"Built-in,Designed to fit beneath Smeg Dolce Stil Novo 60cm ovens and Compact ovens","220-240V, 50/60Hz,400W,1A current","touch control
3 x vacuum levels
chef function
bag & container options
tempered glass lid"
654,CPV615NX,WarmingDrawer,15cm Dolce Stil Novo Vacuum Drawer,dolce stil novo,"",Black eclipse glass with stainless steel trim,"Bags for sous-vide cooking
Bags for food conservation","","","",Five years parts and labour,"",02/10/2018,02/10/2018,cpv615nx,"15kg maximum capacity (internal),85kg maximum capacity","","",0.0,"","",597mmW x 135mmH x 556mmD,597mmW x 127mmH,6.5L,"3 vacuum seal levels
3 preservation cycles
Chef function for marinades and infusions",n/a,"Built-in,Designed to fit beneath Smeg Dolce Stil Novo 60cm ovens and Compact ovens","220-240V, 50/60Hz,400W,1A current","touch control
3 x vacuum levels
chef function
bag & container options
tempered glass lid"
655,CP615NR,WarmingDrawer,15cm Dolce Stil Novo Storage Drawer,dolce stil novo,"",Black eclipse glass with copper trim,"","","","",Five years parts and labour,"",02/10/2018,02/10/2018,cp615nr,"15kg maximum capacity (internal),45kg maximum capacity (stacking)","","",0.0,"",No,597mmW x 135mmH x 538mmD,"",22L Volume | 15kg internal capacity,"",n/a,"Built-in,Designed to fit beneath Smeg Dolce Stil Novo 60cm ovens and Compact ovens",n/a,"dolce stil novo design
push to open
silicon antislip mat
black eclipse glass"
656,CP615NX,WarmingDrawer,15cm Dolce Stil Novo Storage Drawer,dolce stil novo,"",Black eclipse glass with stainless steel trim,"","","","",Five years parts and labour,"",02/10/2018,02/10/2018,cp615nx,"15kg maximum capacity (internal),45kg maximum capacity (stacking)","","",0.0,"",No,597mmW x 135mmH x 538mmD,"",22L Volume | 15kg internal capacity,"",n/a,"Built-in,Designed to fit beneath Smeg Dolce Stil Novo 60cm ovens and Compact ovens",n/a,"dolce stil novo design
push to open
silicon antislip mat
black eclipse glass"
658,CTPA1015,WarmingDrawer,"60cm Linear Warming Drawer, 15cmH",,"","Fingerprint proof stainless steel
 Stopsol® reflective glass","","","","",Two years parts and labour,"",02/10/2018,02/10/2018,ctpa1015,"","","",0.0,"",No,556mmW x 136mmH x 538mmD,597mmW x 127.5mmH x 23mmD,45kg maximum,"","Up to 80ºC, variable temperature control","Built-in,Designed to fit beneath Smeg Linear 60cm ovens and Compact ovens","220-240V, 50/60Hz,10A current 3-pin plug",push to open
659,CTPA1015S,WarmingDrawer,"60cm Linear Warming Drawer, 15cmH",,"","Fingerprint proof stainless steel
 Stopsol® reflective glass","","","","",Two years parts and labour,"",02/10/2018,02/10/2018,ctpa1015s,"","","",0.0,"",No,556mmW x 136mmH x 538mmD,597mmW x 127.5mmH x 23mmD,45kg maximum,"","Up to 80ºC, variable temperature control","Built-in,Designed to fit beneath Smeg Linear 60cm ovens and Compact ovens","220-240V, 50/60Hz,10A current 3-pin plug",push to open
660,CTP1015B,WarmingDrawer,"60cm White Linear Warming Drawer, 15cmH",,"","Fingerprint proof stainless steel
 white Stopsol® reflective glass","","","","",Two years parts and labour,"",02/10/2018,02/10/2018,ctp1015b,"","","",0.0,"",No,556mmW x 136mmH x 538mmD,597mmW x 127.5mmH x 23mmD,15kg,"","Up to 80ºC, variable temperature control","Built-in,Designed to fit beneath Smeg Linear 60cm ovens and Compact ovens","220-240V, 50/60Hz,10A current 3-pin plug",push to open
661,CTP1015N,WarmingDrawer,"60cm Black Linear Warming Drawer, 15cmH",,"","Fingerprint proof stainless steel
 black Stopsol® reflective glass","","","","",Two years parts and labour,"",02/10/2018,02/10/2018,ctp1015n,"","","",0.0,"",No,556mmW x 136mmH x 538mmD,597mmW x 127.5mmH x 23mmD,15kg,"","Up to 80ºC, variable temperature control","Built-in,Designed to fit beneath Smeg Linear 60cm ovens and Compact ovens","220-240V, 50/60Hz,10A current 3-pin plug",push to open
662,CTP9015B,WarmingDrawer,15cm Victoria Warming Drawer,,"",White enamel,"","","","","","",02/10/2018,02/10/2018,ctp9015b,"","","",0.0,"Fascia  - 597mmW x 127.5mmH x 23mmD,Drawer - 556mmW x 136mmH x 538mmD",n/a,"","",45kg maximum,"","Up to 80ºC, variable temperature control","Built-in,Designed to fit beneath Smeg Victoria 60cm and Compact ovens","10 amp, 3-pin plug",push to open
663,CTP9015N,WarmingDrawer,15cm Victoria Warming Drawer,,"",Black enamel,"","","","","","",02/10/2018,02/10/2018,ctp9015n,"","","",0.0,"Fascia  - 597mmW x 127.5mmH x 23mmD,Drawer - 556mmW x 136mmH x 538mmD",n/a,"","",45kg maximum,"","Up to 80ºC, variable temperature control","Built-in,Designed to fit beneath Smeg Victoria 60cm and Compact ovens","10 amp, 3-pin plug",push to open
664,CTP9015P,WarmingDrawer,15cm Victoria Warming Drawer,,"",Panna (cream) enamel,"","","","",Delay timer up to 10 hours approximately,"",02/10/2018,02/10/2018,ctp9015p,"","","",0.0,"Fascia  - 597mmW x 127.5mmH x 23mmD,Drawer - 556mmW x 136mmH x 538",n/a,"","",45kg maximum,"","Up to 80ºC, variable temperature control","Built-in,Designed to fit beneath Smeg Victoria 60cm and Compact ovens","10 amp, 3-pin plug",push to open
665,CTP9015X,WarmingDrawer,15cm Victoria Warming Drawer,,"",Black enamel,"","","","","","",02/10/2018,02/10/2018,ctp9015x,"","","",0.0,"Fascia  - 597mmW x 127.5mmH x 23mmD,Drawer - 556mmW x 136mmH x 538mmD",n/a,"","",45kg maximum,"","Up to 80ºC, variable temperature control","Built-in,Designed to fit beneath Smeg Victoria 60cm and Compact ovens","10 amp, 3-pin plug",push to open
